UNITID,F2D01__last,F2D16__last,F2A02__last,F2A03__last,total_expenses__last,change_in_net_assets__last,expendable_net_assets__last,endowment_eoy__last,operating_margin__last,expenses_to_revenue__last,assets_to_liabilities__last,operating_margin__mean3,expenses_to_revenue__mean3,assets_to_liabilities__mean3,reported_field_count__mean3,F2D16__slope,total_expenses__slope,expendable_net_assets__slope,F2D16__pct3,total_expenses__pct3,expendable_net_assets__pct3,log_F2D16,log_F2A02,log_F2A03,log_total_expenses,log_expendable_net_assets,log_endowment_eoy,tuition_dependence,total_enrollment__last,undergrad_enrollment__last,total_enrollment__slope,total_enrollment__pct3,undergrad_share__last,endowment_per_student,revenue_per_student,tuition_per_student,log_total_enrollment,closed_by_2024,as_of_year
100690,7408702,7840002,16820592.0,926932.0,7453320.0,386682.0,15893660.0,174819.0,0.0493216710914104,0.9506783289085896,18.14652207497421,0.0767623396347261,0.8966564683215096,10.104943096572448,8.0,-102291.47272727086,-54752.20909091061,802656.2727272754,-0.2341411579079398,-0.107181210714755,0.4918510095740887,15.87474977497958,16.638114467535647,13.73963656577629,15.824170262841086,16.581430908451477,12.07151215213448,0.9449872589318216,1058.0,484.0,94.99999999999564,0.21889400921658986,0.45746691871455575,165.23534971644614,7410.209829867675,7002.5538752362945,6.9650803456014065,0,2019
100937,10135162,31507440,90416824.0,35792952.0,43598720.0,-12091280.0,-36733976.0,52826730.0,-0.3837595183867683,1.3837595183867684,2.526106927419677,-0.2175392631086414,1.2175392631086417,3.007817449125386,8.0,-1812870.581818098,739850.2545454263,-10849685.454544105,-0.3553685620132123,-0.0340300596071909,-1.5841748590721365,17.26573429812201,18.31994092530137,17.39326158841927,17.5905383730266,-17.419212688547482,17.782527889505,0.3216751979849838,1341.0,1341.0,8.000000000000064,0.012075471698113207,1.0,39393.534675615214,23495.480984340044,7557.913497390007,7.201916317531627,1,2019
101189,40809561,71282315,116948965.0,44774798.0,56787836.0,14494479.0,11418028.0,23452655.0,0.2033390610279702,0.7966609389720297,2.611937300085642,0.0310760023800606,0.9689239976199392,2.1822345778828884,8.0,2117169.036363673,1149528.8727272835,-3173763.518181793,0.6636653357387235,0.2742629334313948,-0.6795402140260846,18.08215883218148,18.57724820957017,17.617156016788744,17.854832723436765,16.250704155352476,16.970494308703003,0.5725061117894389,4018.0,2978.0,-43.50000000000129,-0.021193666260657735,0.7411647585863613,5836.897710303634,17740.745395719263,10156.685166749627,8.2987883944492,0,2019
101365,6118925,6556903,21815561.0,8723539.0,6849921.0,-309119.0,0.0,,-0.0471440556616439,1.0446884756416253,2.5007695844542,0.2018050932871325,0.8036848847607392,2.6759965514942743,7.875,55690.49999997601,304551.28571432875,-431346.2261905662,0.1141622877758769,0.2852798855881311,-1.0,15.69602909829673,16.898134126298316,15.981535676807107,15.739747823312264,0.0,,0.9332035261159116,1108.0,1082.0,74.9999999999962,0.15657620041753653,0.9765342960288809,,5917.78249097473,5522.495487364621,7.011213987350367,0,2019
101435,11610782,28272325,94789198.0,24955486.0,25474276.0,2798049.0,7268578.0,56797744.0,0.0989677714867808,0.9010322285132192,3.798331076381362,0.0516181280277457,0.9483818719722542,3.3719175720649828,8.0,452147.2000000068,535022.7090909121,-220653.18181817152,0.2519493400307483,0.2703648641451406,0.0473179165448519,17.157394004318373,18.367166026135056,17.032604275822656,17.053179755904864,15.799071369606953,17.85500718219906,0.410676589208705,1208.0,1208.0,-56.49999999999699,-0.08554125662376987,1.0,47018.0,23404.242549668874,9611.574503311258,7.097548850614793,0,2019
101453,316188,9802352,29273729.0,1277274.0,3662002.0,6140350.0,14367889.0,15830314.0,0.6264159866938057,0.3735840133061943,22.918910899305864,0.2638548433670205,0.73513988908281,10.250252310111724,8.0,354005.74545455753,74118.04545454461,415533.5545454725,1.1967123107162858,0.2328628122723312,1.341834338063219,16.098133016861734,17.19220108478202,14.060239460303508,15.113520823440725,16.480506413592806,16.577437330585305,0.0322563401110264,109.0,69.0,3.499999999999849,0.06862745098039216,0.6330275229357798,145232.2385321101,89929.83486238532,2900.8073394495414,4.700480365792417,0,2019
101541,1884907,9673439,31270049.0,16701634.0,9415776.0,257663.0,1353762.0,14047540.0,0.0266361321966262,0.9733638678033738,1.8722748325104,-0.0609804878363002,0.9496579217522784,1.993620504626364,7.857142857142857,-243000.8571428436,33279.78571427538,-1211956.0357145066,-0.2044894757327669,0.0237629336594317,-0.8136000083715745,16.084894543569426,17.2581713284094,16.631017176786298,16.057897244549192,14.118398680205985,16.45795792063303,0.194853867378499,398.0,398.0,-34.499999999997264,-0.14775160599571735,1.0,35295.32663316583,24305.123115577888,4735.947236180905,5.988961416889864,1,2019
101675,13726743,32071605,99847388.0,18718069.0,28894764.0,375492.0,81129319.0,30341252.0,0.0117079266846794,0.9009453689642286,5.334278231370981,0.059049125522193,0.9276717250001222,3.575070469105681,8.0,803621.2818181777,383321.0363636389,3087630.1636363827,0.0761846943860566,0.0359499622222048,0.5235701072171932,17.283481648369953,18.419153468260365,16.744999925408127,17.17917099480598,18.21155498272636,17.228018829647585,0.4280029951728328,1853.0,1853.0,-105.99999999999955,-0.10266343825665859,1.0,16374.124123043714,17307.935779816515,7407.848354020507,7.5251007461258,0,2019
101693,14003121,31173357,73653262.0,32965045.0,31666927.0,-493570.0,17070461.0,25213200.0,-0.0158330718119322,1.0158330718119322,2.234283678362945,0.0172232502918945,0.985316409193458,1.9950898915224613,8.0,530586.1090909005,271560.4363636411,279897.0272727231,0.0807737090392044,0.1864632870500308,0.0419049316417127,17.255074377734257,18.114879004032723,17.31095834594795,17.270783413494232,16.652860159430734,17.042878264526905,0.4492015729970949,2065.0,1786.0,169.99999999999372,0.19710144927536233,0.8648910411622276,12209.782082324455,15096.056658595642,6781.172397094431,7.633369649679584,0,2019
101912,17248039,63553119,112088713.0,37348020.0,65783520.0,-2230401.0,26681167.0,9755394.0,-0.0350950674820538,1.0350950674820538,3.001195592162583,0.0136329180173923,0.9863670819826076,4.726822974241236,8.0,565831.1272727313,1534697.5818181825,-5192143.527272672,0.1486785179047418,0.273131609992182,-0.5977261272810027,17.967386649595237,18.53480120500792,17.4357904828649,18.001879924200544,17.099468556164407,16.093331023274924,0.2713956336273598,1772.0,1702.0,-81.49999999999656,-0.08423772609819122,0.9604966139954854,5505.301354401806,35865.19130925508,9733.65632054176,7.480428306074208,0,2019
