UNITID,F2D01__last,F2D16__last,F2A02__last,F2A03__last,total_expenses__last,change_in_net_assets__last,expendable_net_assets__last,endowment_eoy__last,operating_margin__last,expenses_to_revenue__last,assets_to_liabilities__last,operating_margin__mean3,expenses_to_revenue__mean3,assets_to_liabilities__mean3,reported_field_count__mean3,F2D16__slope,total_expenses__slope,expendable_net_assets__slope,F2D16__pct3,total_expenses__pct3,expendable_net_assets__pct3,log_F2D16,log_F2A02,log_F2A03,log_total_expenses,log_expendable_net_assets,log_endowment_eoy,tuition_dependence,closed_by_2024,as_of_year
100690,8266939,9710803,14438530.0,2487355.0,7286508.0,2424295.0,11776370.0,174805.0,0.2496492823508004,0.7503507176491996,5.804772539504816,0.1405189960830463,0.8594810039169536,5.09292820526879,8.0,1141118.4999999588,-49327.99999998281,1476872.999999936,0.30722443604862637,-0.013358674228493775,0.33479223414711995,16.088749638075512,16.485410954952034,14.72673085689199,15.801535114116039,16.281605624209966,12.071432066557277,0.8513136349280281,0,2019
100937,13802483,35072980,159285516.0,47756472.0,45928718.0,-10855738.0,103859706.0,53117638.0,-0.3095185524583311,1.3095185524583313,3.335370250968288,-0.061014617970510165,1.0610146179705102,3.3705514132970174,8.0,-13132870.999999251,-833774.9999999874,20869267.999999594,-0.4282081716668306,-0.03503530991127288,0.6718890838662569,17.372941619929666,18.886208854237392,17.681625175912984,17.642601165645235,18.458551575271134,17.78801961560853,0.3935360782003696,1,2019
101189,33557876,42795009,89941892.0,42026935.0,43859630.0,-1064621.0,34752145.0,18492390.0,-0.0248772234164035,1.0248772234164036,2.140101151797056,0.009458229224655232,0.9905417707753447,2.098248493112649,8.0,-2125761.499999855,-388514.999999954,-73653.50000000004,-0.0903684675418796,-0.017407888493449108,-0.004220897222111109,17.571932064969978,18.314674386450253,17.55382130401464,17.59650488778593,17.363751883463973,16.73286990814532,0.7841539652439377,0,2019
101365,7732340,7906395,9435073.0,3717479.0,5294763.0,2623546.0,5717594.0,,0.3318258194790419,0.6696810619757804,2.5380299391065826,0.26152624385998724,0.7525744214006352,1.830025207201576,7.666666666666667,1010671.4999999165,-17377.00000000574,2600935.4999998836,0.3434707118985525,-0.006521041212552657,10.086560033196115,15.883182610124727,16.059944579891287,15.128556577342325,15.48222896567497,15.55905882039473,,0.9779855420833389,0,2019
101435,12136759,23333211,86309501.0,26153792.0,23501092.0,-167881.0,12289300.0,50818280.0,-0.0071949377220306,1.0071949377220306,3.3000759889808715,0.05239686319380907,0.9476031368061909,3.170526321361095,8.0,-311433.0000000134,670555.4999999864,1161364.9999999222,-0.026000333861007377,0.06051950134794791,0.23305209314739173,16.965388311332003,18.273450254279993,17.079504785757937,16.9725574886711,16.3242396044162,17.743766710018562,0.5201495413554525,0,2019
101453,239792,5817221,18177340.0,1879885.0,2995640.0,2821576.0,9059058.0,11825721.0,0.4850384745568373,0.5149606659262215,9.66938935094434,0.31535193265514877,0.6809620084616256,7.295609673690713,8.0,861906.4999999936,59687.9999999865,1343522.4999999648,0.4211192727429076,0.0415038397031705,0.4216948396056317,15.576333386166734,16.71568637639066,14.446721694669684,14.91266879000424,16.019275809490356,16.285787547560815,0.04122105727116092,0,2019
101541,2012505,8967188,30180424.0,16210832.0,9634073.0,-2164856.0,-1279942.0,15479806.0,-0.2414197181992838,1.0743694678866995,1.8617442954192605,-0.06356598194110863,0.9132062868621919,1.9421457532901634,7.666666666666667,-1834188.9999999201,55441.49999998547,-2299593.4999999283,-0.29032162073309575,0.011643472407880133,-1.3856123907695876,16.009082806995433,17.22270409337845,16.60119028042362,16.080816747272138,-14.062326103654254,16.555046958347873,0.22442988816561,1,2019
101675,7463738,31247887,92185920.0,34648126.0,31194649.0,53238.0,54826460.0,23273985.0,0.0017037311994887,0.9982962688005113,2.6606322085067458,0.020523246811075268,0.9794767531889246,2.5918368254293367,8.0,-963212.9999999239,-128947.99999998476,-113893.50000001337,-0.058069808408692594,-0.008199527256061472,-0.004137500963368003,17.257462347862784,18.339317976216133,17.360754227305115,17.255757163717327,17.819683500339977,16.962846814120375,0.23885576647150575,0,2019
101693,14308434,27842301,69294728.0,40017873.0,31108237.0,-3265936.0,10417831.0,17303532.0,-0.1173012244929038,1.1173012244929037,1.7315944802963417,-0.020659099606040097,1.0299711843856663,1.8596681623726639,8.0,-717712.4999999915,1307674.4999999618,-1314777.4999999825,-0.049027885567342215,0.09178953709430929,-0.2015388369747013,17.14206707679374,18.053879400661316,17.504836762270482,17.25298322953278,16.15902951122137,16.666421258271193,0.5139098955937585,0,2019
101912,23316539,57079560,101474881.0,16741379.0,55566100.0,1513460.0,84733502.0,19744545.0,0.0265149205775237,0.9734850794224764,6.061321531517804,0.0505376649622764,0.9494623350377235,5.939934979375231,8.0,679181.4999999319,2155500.49999985,3939353.4999998664,0.024377850317896077,0.08410872448027074,0.10251418925780753,17.85995665958328,18.435321857840567,16.633394056903825,17.83308387903709,18.25502163040986,16.798387859275714,0.4084919189986748,0,2019
