rank,UNITID,INSTNM,state,risk_score,driver_1,driver_2,driver_3,operating_margin,endowment_per_student,total_enrollment,enrollment_3yr_pct
337,231095,Sterling College,VT,0.16201117318435754,3-yr enrollment % change,total assets,expendable net assets,0.0664839693953443,11221.85436893204,103.0,-0.3522012578616352
338,155937,Sterling College,KS,0.16201117318435754,total assets,3-yr avg expenses-to-revenue,total liabilities,-0.1437833478054356,16741.366336633662,808.0,0.0701986754966887
339,481225,Mid-South Christian College,TN,0.16201117318435754,undergrad enrollment,tuition & fees,revenue per student,0.0725504243823908,4837.75,40.0,1.2222222222222223
340,486026,Yeshiva Sholom Shachna,NY,0.16201117318435754,endowment EOY,expendable net assets,total assets,0.1362474233808168,,137.0,0.2342342342342342
341,224244,Dallas Christian College,TX,0.16201117318435754,total assets,expendable net assets,total liabilities,-0.0048508080692489,1540.6753246753246,308.0,-0.0994152046783625
342,216542,University of Valley Forge,PA,0.16201117318435754,assets-to-liabilities ratio,endowment EOY,total assets,-0.1242477376316421,4555.675516224189,678.0,-0.0014727540500736
343,451927,Patrick Henry College,VA,0.16201117318435754,tuition per student,endowment EOY,undergrad enrollment,0.1200835281494811,7537.453488372093,430.0,0.0591133004926108
344,494685,Urshan University,MO,0.16201117318435754,total assets,expendable net assets,total liabilities,0.109193743537789,,569.0,0.1565040650406504
345,177418,Fontbonne University,MO,0.16201117318435754,endowment EOY,total assets,tuition per student,0.2006415819172993,4756.312436804853,989.0,-0.1716917922948073
346,148131,Quincy University,IL,0.16201117318435754,expendable net assets,assets-to-liabilities ratio,3-yr expendable net assets % change,-0.0466999099913782,12407.69589041096,1460.0,0.0048176187198898
347,192864,Marymount Manhattan College,NY,0.16201117318435754,change in net assets,3-yr avg operating margin,endowment EOY,-0.2036797079336417,17427.036760482482,1741.0,-0.0783483324510322
348,190707,CVPH Medical Center School of Radiologic Technology,NY,0.16201117318435754,total revenue,revenue per student,endowment EOY,,,19.0,0.2666666666666666
349,493707,Yeshiva Gedolah of Woodlake Village,NJ,0.16201117318435754,expendable net assets,total assets,total liabilities,-0.1494498184668414,,94.0,-0.0693069306930693
350,457402,University of Fort Lauderdale,FL,0.16201117318435754,endowment EOY,total assets,expendable net assets,0.0165029379314762,,582.0,1.1318681318681318
351,493798,New York Seminary,NY,0.16201117318435754,expendable net assets,endowment EOY,total assets,-0.0380173767172529,,111.0,-0.0263157894736842
352,111726,CET-El Centro,CA,0.16201117318435754,expendable net assets,endowment EOY,tuition dependence (tuition / total revenue),,,256.0,-0.1715210355987055
353,188942,Associated Beth Rivkah Schools,NY,0.16201117318435754,endowment EOY,total assets,expendable net assets,-0.0610508683927358,,295.0,0.0535714285714285
354,192749,Manhattanville University,NY,0.16201117318435754,expendable net assets,tuition per student,endowment EOY,-0.1149609632165818,10198.132256956373,2911.0,0.01041305102395
355,446242,Employment Solutions-College for Technical Education,KY,0.16201117318435754,tuition dependence (tuition / total revenue),endowment EOY,expendable net assets,,,349.0,0.736318407960199
356,443030,NorthShore University HealthSystem School of Nurse Anesthesia,IL,0.16201117318435754,expendable net assets,endowment EOY,3-yr expendable net assets % change,,,100.0,0.0101010101010101
357,449348,Huntsville Bible College,AL,0.16201117318435754,expendable net assets,total assets,endowment EOY,-0.0947690009166686,,152.0,0.0201342281879194
358,193830,New York Medical College,NY,0.16201117318435754,enrollment trend (slope),3-yr expendable net assets % change,total assets,,51463.56826801517,1582.0,-0.0715962441314554
359,491613,Yeshiva Gedolah Tiferes Boruch,NJ,0.16201117318435754,expendable net assets,endowment EOY,total liabilities,0.0224067456455474,,75.0,-0.1847826086956521
360,175421,Belhaven University,MS,0.16201117318435754,endowment EOY,expendable net assets,expendable net assets trend,-0.0803775238818211,1537.8292117465223,5176.0,-0.0901740200386711
361,117283,Latin American Bible Institute,CA,0.16201117318435754,3-yr avg assets-to-liabilities,assets-to-liabilities ratio,total assets,0.0478580816003078,412.2796610169492,118.0,1.0701754385964912
362,198303,Chowan University,NC,0.16201117318435754,3-yr avg expenses-to-revenue,total assets,total liabilities,-0.0535129060000536,40802.6875,784.0,-0.2575757575757575
363,138761,Andrew College,GA,0.16201117318435754,expendable net assets,undergrad enrollment,total assets,0.0627466823876974,32134.4262295082,366.0,0.173076923076923
364,138293,Webber International University,FL,0.16201117318435754,expendable net assets,tuition per student,total assets,0.004366780324928,7374.53128103277,1007.0,-0.0400381315538608
365,388520,College of Biblical Studies-Houston,TX,0.16201117318435754,operating margin,3-yr revenue % change,total assets,-0.8888795134440178,342.6815561959654,694.0,0.6523809523809524
366,186186,Rabbinical College of America,NJ,0.16201117318435754,expendable net assets,undergrad enrollment,total assets,0.0552264703039911,,323.0,-0.1696658097686375
367,449481,Dragon Rises College of Oriental Medicine,FL,0.16201117318435754,assets-to-liabilities ratio,3-yr expendable net assets % change,expendable net assets,-0.0087658884585262,,71.0,0.5434782608695652
368,449834,Virginia Beach Theological Seminary,VA,0.16201117318435754,undergrad enrollment,tuition & fees,expendable net assets,-0.0931923374894882,18645.36585365853,41.0,-0.1458333333333333
369,130837,Margaret H Rollins School of Nursing at Beebe Medical Center,DE,0.16201117318435754,3-yr enrollment % change,tuition dependence (tuition / total revenue),expendable net assets,,,44.0,-0.3432835820895522
370,186423,Capital Health School of Nursing,NJ,0.16201117318435754,3-yr enrollment % change,tuition dependence (tuition / total revenue),expendable net assets,,,53.0,-0.2837837837837837
371,222877,Arlington Baptist University,TX,0.16201117318435754,total assets,expendable net assets,endowment EOY,0.1089729861363404,,301.0,0.2594142259414226
372,155177,Hesston College,KS,0.16201117318435754,total assets,tuition per student,undergrad enrollment,-0.0741063217058096,44735.15105740181,331.0,-0.1005434782608695
373,164085,Maryland University of Integrative Health,MD,0.16201117318435754,3-yr expendable net assets % change,3-yr avg assets-to-liabilities,expendable net assets,-0.0181317165107655,24.60558139534884,1075.0,-0.1100993377483443
374,105899,Arizona Christian University,AZ,0.16201117318435754,tuition per student,expendable net assets,3-yr avg operating margin,0.0393902645483787,531.937134502924,1368.0,0.2324324324324324
375,238193,Alverno College,WI,0.16201117318435754,3-yr avg operating margin,total assets,3-yr expendable net assets % change,-0.2829474577445637,17213.261406844107,2104.0,-0.0232126276694521
376,366003,South Florida Bible College and Theological Seminary,FL,0.16201117318435754,endowment EOY,total assets,expendable net assets,-0.115193214929188,,511.0,0.3035714285714285
377,132842,Albizu University-Miami,FL,0.16201117318435754,expendable net assets,total assets,3-yr expendable net assets % change,0.0046866486688896,,1125.0,-0.0490278951817413
378,216630,Washington Health System School of Nursing,PA,0.16201117318435754,expendable net assets,revenue per student,3-yr expendable net assets % change,,,62.0,0.0689655172413793
379,481058,Grace Mission University,CA,0.16201117318435754,expendable net assets,total assets,endowment EOY,0.1103618149806198,,361.0,-0.1086419753086419
380,242644,Inter American University of Puerto Rico-Barranquitas,PR,0.16201117318435754,expendable net assets,endowment EOY,3-yr expendable net assets % change,,,1164.0,-0.2005494505494505
381,488314,Beth Medrash of Asbury Park,NJ,0.16201117318435754,expendable net assets,endowment EOY,total assets,0.0900695373185116,,130.0,0.5294117647058824
382,480727,School of Missionary Aviation Technology,MI,0.16201117318435754,endowment EOY,expendable net assets,3-yr expendable net assets % change,,,69.0,0.1311475409836065
383,133979,Florida Memorial University,FL,0.16201117318435754,tuition per student,total liabilities,endowment per student,-0.0680490257758517,4494.286687306501,1615.0,0.3791631084543125
384,200785,Herzing University-Akron,OH,0.16201117318435754,expendable net assets,3-yr expendable net assets % change,total assets,0.0780394005201901,,755.0,-0.0052700922266139
385,202903,Gods Bible School and College,OH,0.16201117318435754,expendable net assets,undergrad enrollment,total assets,0.1245225403776183,,523.0,0.1726457399103139
386,169424,Cranbrook Academy of Art,MI,0.16201117318435754,endowment per student,total assets,total enrollment,0.1821757227972206,633835.3109243697,119.0,-0.0916030534351145
387,197674,Yeshiva of Nitra Rabbinical College,NY,0.16201117318435754,total assets,endowment EOY,expendable net assets,0.0504646835759856,,272.0,0.3140096618357488
388,199306,Pfeiffer University,NC,0.16201117318435754,expendable net assets,tuition per student,total assets,-0.1570115960688409,19118.145873320536,1042.0,-0.1916214119472459
389,199643,Shaw University,NC,0.16201117318435754,3-yr avg expenses-to-revenue,total assets,3-yr avg operating margin,-0.3155183275918192,13263.76345083488,1078.0,-0.1518489378442171
390,113698,Dominican University of California,CA,0.16201117318435754,expendable net assets,tuition per student,3-yr expendable net assets % change,-0.0167990899229417,13228.878159966844,2413.0,0.1207617278216442
391,243498,Seminario Evangelico de Puerto Rico,PR,0.16201117318435754,expendable net assets,total assets,3-yr expendable net assets % change,0.3807843180335515,4909.234567901234,162.0,0.087248322147651
392,475608,Criswell College,TX,0.16201117318435754,3-yr avg operating margin,total assets,total liabilities,0.0748399681195599,63450.73224043716,183.0,-0.1116504854368932
393,459842,Herzing University-Kenosha,WI,0.16201117318435754,expendable net assets,total assets,3-yr expendable net assets % change,-0.1034132863336552,,911.0,-0.1051080550098231
394,153542,UnityPoint Health-Des Moines School of Radiologic Technology,IA,0.16201117318435754,tuition & fees,expendable net assets,endowment EOY,,,16.0,0.1428571428571428
395,121628,RAND School of Public Policy,CA,0.16201117318435754,expendable net assets,undergrad enrollment,total assets,,329195.1043956044,182.0,0.3284671532846715
396,490328,Mechon L'hoyroa,NY,0.16201117318435754,total assets,endowment EOY,total liabilities,-0.0009238825983015,,156.0,0.4444444444444444
397,374024,Adler Graduate School,MN,0.16201117318435754,expendable net assets,endowment EOY,total liabilities,0.0447911619579504,,302.0,-0.062111801242236
398,431983,Yeshiva of the Telshe Alumni,NY,0.14814814814814814,expendable net assets,tuition per student,total assets,0.1366912465785958,,99.0,-0.2325581395348837
399,493822,College Unbound,RI,0.14814814814814814,total assets,expendable net assets,endowment EOY,0.0161838310628903,,520.0,0.7869415807560137
400,139153,Beulah Heights University,GA,0.14814814814814814,endowment EOY,total assets,expendable net assets,0.0407473121236999,,468.0,-0.040983606557377
401,114947,Gemological Institute of America-Carlsbad,CA,0.14814814814814814,tuition dependence (tuition / total revenue),endowment EOY,expendable net assets,,,250.0,0.8656716417910447
402,145628,Illinois College of Optometry,IL,0.14814814814814814,endowment EOY,3-yr enrollment % change,expendable net assets trend,0.0696304842654199,3658.527985074627,536.0,-0.1270358306188925
403,443049,Faith International University,WA,0.14814814814814814,endowment EOY,total assets,undergrad enrollment,0.0843287405785797,,561.0,0.1885593220338983
404,191597,Helene Fuld College of Nursing,NY,0.14814814814814814,tuition per student,expendable net assets,total assets,0.0024480977506697,772.2159574468085,940.0,0.2020460358056266
405,102270,Stillman College,AL,0.14814814814814814,expendable net assets,3-yr expendable net assets % change,total liabilities,-0.0621763551421838,21897.360619469026,904.0,0.0462962962962962
406,496618,National Institute for Medical Assistant Advancement (NIMAA),CO,0.14814814814814814,expendable net assets,endowment EOY,total assets,,,284.0,0.6804733727810651
407,199032,Montreat College,NC,0.14814814814814814,expendable net assets,endowment EOY,3-yr expendable net assets % change,0.2700389923156787,7973.0777000777,1287.0,0.0953191489361702
408,401250,Yo San University of Traditional Chinese Medicine,CA,0.14814814814814814,expendable net assets,total assets,3-yr expendable net assets % change,-0.2042887306070211,,154.0,-0.1149425287356321
409,172477,Thomas M Cooley Law School,MI,0.14814814814814814,3-yr enrollment % change,3-yr avg operating margin,total assets,-0.0870354816556216,24683.3853046595,558.0,-0.370913190529876
410,149505,Trinity Christian College,IL,0.14814814814814814,endowment EOY,tuition per student,revenue per student,0.0043092436582194,12073.284153005465,915.0,-0.1823056300268096
411,491710,Yeshiva Gedolah of Cliffwood,NJ,0.14814814814814814,expendable net assets,endowment EOY,total liabilities,0.0452073709525299,,87.0,-0.2627118644067797
412,491631,Women's Institute of Torah Seminary and College,MD,0.14814814814814814,total assets,endowment EOY,expendable net assets,-0.0063637457048725,,224.0,0.0
413,490276,Yeshiva Shaar Ephraim,NY,0.14814814814814814,expendable net assets,total assets,endowment EOY,0.0293592555197805,,139.0,0.1583333333333333
414,211583,Chestnut Hill College,PA,0.14814814814814814,expendable net assets,tuition per student,3-yr expendable net assets % change,0.0093022492997017,14531.80671224363,1609.0,-0.0996082820369334
415,166018,Hampshire College,MA,0.14814814814814814,total assets,3-yr avg operating margin,change in net assets,-0.4788320848489135,35332.14526588846,771.0,0.542
416,490319,Yeshiva Bais Aharon,NJ,0.14814814814814814,undergrad enrollment,expendable net assets,total revenue,0.0146499352654118,,32.0,0.4545454545454545
417,212869,Harcum College,PA,0.14814814814814814,tuition per student,total assets,total liabilities,0.2878726087037153,6006.571929824561,1140.0,-0.0306122448979591
418,384421,Rabbi Jacob Joseph School,NJ,0.14814814814814814,expendable net assets,tuition per student,endowment EOY,0.0009981891280094,,99.0,-0.0660377358490566
419,490753,Maine Media College,ME,0.14814814814814814,undergrad enrollment,expendable net assets,3-yr expendable net assets % change,-0.0842636549844328,34085.26315789474,38.0,0.0857142857142857
420,468769,CET-Soledad,CA,0.14814814814814814,tuition dependence (tuition / total revenue),expendable net assets,endowment EOY,,,331.0,0.0888157894736842
421,208725,New Hope Christian College-Eugene,OR,0.14814814814814814,total assets,total liabilities,3-yr expendable net assets % change,-0.0388151398893543,16170.05,60.0,0.0714285714285714
422,204176,Mount Carmel College of Nursing,OH,0.14814814814814814,endowment EOY,tuition per student,total liabilities,0.1402799636749121,3034.5920745920744,858.0,-0.1781609195402299
423,486196,Beth Medrash Meor Yitzchok,NY,0.14814814814814814,total assets,endowment EOY,expendable net assets,-0.0224115982433425,,269.0,0.2453703703703703
424,366261,Commonwealth Institute of Funeral Service,TX,0.14814814814814814,endowment EOY,expendable net assets,total assets,0.005335937824921,,599.0,0.3552036199095023
425,123916,Starr King School for the Ministry,CA,0.14814814814814814,expendable net assets,total assets,3-yr revenue % change,0.4411925888032363,91773.96428571428,84.0,-0.1683168316831683
426,214528,Orleans Technical College,PA,0.14814814814814814,expendable net assets,total assets,revenue per student,,,504.0,0.12
427,488387,Claremont Lincoln University,CA,0.14814814814814814,3-yr enrollment % change,total assets,total liabilities,0.3225266054817318,,339.0,-0.2995867768595041
428,186405,Capital Health School of Radiologic Technology,NJ,0.14814814814814814,expendable net assets,endowment EOY,tuition & fees,,,15.0,-0.0625
429,185679,JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,NJ,0.14814814814814814,tuition dependence (tuition / total revenue),expendable net assets,total assets,,,792.0,-0.0062735257214554
430,455099,Urshan Graduate School of Theology,MO,0.0997229916897507,total assets,expendable net assets,total liabilities,-0.0812122778932296,,137.0,0.1709401709401709
431,454838,Institute of Taoist Education and Acupuncture,CO,0.0997229916897507,expendable net assets,3-yr expendable net assets % change,assets-to-liabilities ratio,-0.1368481192576742,,39.0,0.054054054054054
432,179317,Saint Paul School of Theology,KS,0.0997229916897507,total assets,3-yr avg operating margin,total liabilities,0.4466411390288984,328581.25217391306,115.0,0.0267857142857142
433,179265,University of Health Sciences and Pharmacy in St. Louis,MO,0.0997229916897507,undergrad enrollment,3-yr avg assets-to-liabilities,3-yr enrollment % change,-0.1685442900260558,183302.72935779815,654.0,-0.2186379928315412
434,111799,CET-Salinas,CA,0.0997229916897507,expendable net assets,tuition dependence (tuition / total revenue),endowment EOY,,,306.0,0.1208791208791208
435,160065,University of Holy Cross,LA,0.0997229916897507,3-yr avg operating margin,3-yr avg expenses-to-revenue,total assets,-0.0986041215153904,14418.831658291458,1592.0,0.0446194225721784
436,130314,University of Saint Joseph,CT,0.0997229916897507,undergrad enrollment,tuition per student,assets-to-liabilities ratio,0.1749843516779816,24216.540684748776,2249.0,-0.101119104716227
437,234915,City University of Seattle,WA,0.0997229916897507,endowment EOY,total assets,3-yr avg operating margin,0.0195810684044067,1296.6324428709363,3107.0,0.0856044723969252
438,139630,Emmanuel University,GA,0.0997229916897507,endowment EOY,total assets,total liabilities,0.0203010293569918,2320.3375858684985,1019.0,0.0292929292929292
439,111708,CET-San Diego,CA,0.0997229916897507,expendable net assets,endowment EOY,tuition dependence (tuition / total revenue),,,349.0,-0.0113314447592068
440,446640,Harrisburg University of Science and Technology,PA,0.0997229916897507,expendable net assets,assets-to-liabilities ratio,3-yr avg operating margin,-0.2437669943537183,231.03250188964475,6615.0,0.1625659050966608
441,446163,Community Christian College,AZ,0.0997229916897507,expendable net assets,total assets,endowment EOY,0.3191224405149007,,737.0,0.1082706766917293
442,144014,Chicago Theological Seminary,IL,0.0997229916897507,3-yr enrollment % change,total assets,enrollment trend (slope),0.0088586653412358,88422.83498349835,303.0,-0.2903981264637002
443,176910,Central Christian College of the Bible,MO,0.0997229916897507,total assets,expendable net assets,total liabilities,0.1905829662262977,10119.844827586208,232.0,-0.0333333333333333
444,176664,Mission University,MO,0.0997229916897507,total assets,expendable net assets,undergrad enrollment,0.4286283346364084,1068.0878859857482,421.0,0.3034055727554179
445,440651,Atenas University,PR,0.0997229916897507,total assets,endowment EOY,total liabilities,-0.0095510606597478,,820.0,0.0499359795134443
446,457794,EDP School,NY,0.0997229916897507,endowment EOY,tuition dependence (tuition / total revenue),expendable net assets,,,210.0,0.2727272727272727
447,194736,Rabbinical College of Long Island,NY,0.0997229916897507,expendable net assets,total assets,endowment EOY,0.3288254632457989,,164.0,0.0445859872611464
448,194392,Paul Smiths College of Arts and Science,NY,0.0997229916897507,tuition per student,total assets,3-yr avg expenses-to-revenue,-0.1460243998786303,30290.745621351125,1199.0,0.5138888888888888
449,232043,Eastern Mennonite University,VA,0.0997229916897507,expendable net assets,3-yr expendable net assets % change,undergraduate share of enrollment,-0.002128787160454,29256.791139240508,1580.0,-0.0567164179104477
450,155627,Ottawa University-Ottawa,KS,0.0997229916897507,expendable net assets,assets-to-liabilities ratio,endowment EOY,-0.0476706074138544,23215.055605381167,1115.0,0.1663179916317991
451,219392,Sanford Medical Center,SD,0.0997229916897507,endowment EOY,tuition & fees,expendable net assets,,,27.0,-0.0357142857142857
452,218919,Voorhees University,SC,0.0997229916897507,expendable net assets,total assets,endowment EOY,0.0033548924856824,18307.80347826087,575.0,0.3188073394495412
453,231420,Averett University,VA,0.0997229916897507,endowment EOY,expendable net assets,3-yr avg operating margin,-0.2579327911878916,3228.050510783201,1762.0,0.1471354166666666
454,158325,Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,LA,0.0997229916897507,expendable net assets,endowment EOY,total assets,,,199.0,0.1117318435754189
455,157863,Union Commonwealth University,KY,0.0997229916897507,3-yr avg operating margin,3-yr expendable net assets % change,3-yr avg expenses-to-revenue,-0.0880588712759126,22585.092539454807,1394.0,0.1473251028806584
456,147396,Morrison Institute of Technology,IL,0.0997229916897507,expendable net assets,endowment EOY,total liabilities,-0.0877332769415514,,60.0,-0.25
457,434362,Northwest HVAC/R Training Center,WA,0.0997229916897507,total revenue,expendable net assets,revenue per student,,,49.0,0.4
458,441690,Universidad Pentecostal Mizpa,PR,0.0997229916897507,endowment EOY,expendable net assets,total assets,0.2073214173796079,,274.0,0.3497536945812808
459,493646,Ohel Margulia Seminary,NY,0.0997229916897507,tuition dependence (tuition / total revenue),endowment EOY,expendable net assets,0.0029730139173723,,243.0,0.0611353711790393
460,493594,Yeshiva of Ocean,NY,0.0997229916897507,endowment EOY,expendable net assets,total assets,0.2172659515051133,,62.0,0.3777777777777777
461,492069,Champion Christian College,AR,0.0997229916897507,expendable net assets,total assets,endowment EOY,0.0578633352222719,,151.0,0.5252525252525253
462,174525,Oak Hills Christian College,MN,0.0997229916897507,undergrad enrollment,total assets,expendable net assets,-0.0711463110380051,7088.543307086614,127.0,0.1869158878504672
463,174154,Herzing University-Minneapolis,MN,0.0997229916897507,expendable net assets,total assets,endowment EOY,0.1340288582666783,,1174.0,0.018213356461405
464,217891,Clinton College,SC,0.0997229916897507,total assets,expenses-to-revenue ratio,operating margin,-0.2072721385626567,118.64583333333331,192.0,-0.1829787234042553
465,216773,Western Pennsylvania Hospital School of Nursing,PA,0.0997229916897507,expendable net assets,endowment EOY,total assets,,,165.0,0.2992125984251969
466,486080,Elmezzi Graduate School of Molecular Medicine,NY,0.0997229916897507,endowment per student,total enrollment,tuition & fees,0.6161527943482982,2843718.090909091,11.0,-0.2142857142857142
467,128744,University of Bridgeport,CT,0.0997229916897507,tuition per student,tuition & fees,total assets,0.0538168964590611,3269.1415313225057,5603.0,0.1230707556624574
468,224004,Concordia University Texas,TX,0.0997229916897507,tuition per student,3-yr enrollment % change,3-yr revenue % change,-0.1422012680575741,15939.825563909775,1995.0,-0.2491531802785096
469,222105,William R Moore College of Technology,TN,0.0997229916897507,expendable net assets,total assets,total liabilities,0.168839350188669,9227.82966226138,681.0,0.0
470,156745,Georgetown College,KY,0.0997229916897507,expendable net assets,3-yr expendable net assets % change,total assets,0.4416542142548804,20842.55133079848,1578.0,-0.1013667425968109
471,173957,Mayo Clinic College of Medicine and Science,MN,0.0997229916897507,endowment per student,total assets,expendable net assets,,599191.0755148742,1748.0,0.175521183591123
472,426314,Embry-Riddle Aeronautical University-Worldwide,FL,0.0997229916897507,tuition dependence (tuition / total revenue),tuition & fees,endowment EOY,,411.11981205951446,17878.0,-0.0300037979491074
473,420246,Sonoran University of Health Sciences,AZ,0.0997229916897507,endowment EOY,3-yr enrollment % change,total assets,0.0010050809084314,2386.9548286604363,642.0,-0.1169188445667125
474,195580,Saint Vladimirs Orthodox Theological Seminary,NY,0.0997229916897507,expendable net assets,3-yr expendable net assets % change,total liabilities,-0.2673338123809206,202282.04301075268,93.0,0.1204819277108433
475,175120,Summit Academy Opportunities Industrialization Center,MN,0.0997229916897507,total assets,expendable net assets,3-yr expendable net assets % change,,,771.0,-0.1490066225165563
476,198871,Louisburg College,NC,0.0997229916897507,expendable net assets,undergrad enrollment,total assets,0.0425593982597007,28999.009746588694,513.0,-0.2618705035971223
477,386472,Herzing University-Orlando,FL,0.0997229916897507,expendable net assets,3-yr expendable net assets % change,total assets,0.1033309412080605,,1337.0,0.0764895330112721
478,150145,Bethel University,IN,0.0997229916897507,endowment EOY,expendable net assets,total assets,-0.0004007968720174,8419.379310344828,1392.0,-0.0588235294117647
479,197647,Yeshiva Derech Chaim,NY,0.0997229916897507,total assets,endowment EOY,expendable net assets,0.0033894040850323,,155.0,-0.0490797546012269
480,237136,Appalachian Bible College,WV,0.0997229916897507,total assets,expendable net assets,total liabilities,0.146586195752801,8388.833333333334,258.0,-0.0114942528735632
481,481401,Grace School of Theology,TX,0.0997229916897507,undergrad enrollment,expendable net assets,total assets,0.0047683929940516,,831.0,-0.0848017621145374
482,154262,St Luke's College,IA,0.0997229916897507,expendable net assets,total assets,3-yr expendable net assets % change,,6509.048245614035,228.0,-0.0952380952380952
483,241793,Center for Advanced Studies On Puerto Rico and the Caribbean,PR,0.0997229916897507,expendable net assets,endowment EOY,total assets,0.17268298615697,,388.0,-0.1709401709401709
484,125718,Westminster Theological Seminary in California,CA,0.0997229916897507,total assets,total liabilities,undergrad enrollment,0.3400487306580259,7829.724770642202,109.0,-0.1925925925925926
485,197601,Yeshiva Karlin Stolin,NY,0.0997229916897507,endowment EOY,expendable net assets,tuition dependence (tuition / total revenue),0.082657432654319,,170.0,0.0759493670886076
486,197531,Word of Life Bible Institute,NY,0.0997229916897507,expendable net assets,total assets,3-yr expendable net assets % change,,,683.0,0.1233552631578947
487,199272,William Peace University,NC,0.0997229916897507,3-yr expendable net assets % change,3-yr avg operating margin,total assets,-0.2360450461140239,48006.90604651163,1075.0,0.0664682539682539
488,199209,North Carolina Wesleyan University,NC,0.0997229916897507,3-yr expendable net assets % change,expenses trend (slope),expendable net assets,-0.1328415080505495,7746.553047404063,1772.0,-0.0693277310924369
489,203960,Mercy College of Ohio,OH,0.0997229916897507,total assets,total liabilities,expenses trend (slope),0.1563022062868556,20571.60316413975,1517.0,-0.1434217955957086
490,203580,Lake Erie College,OH,0.0997229916897507,3-yr expendable net assets % change,expendable net assets,3-yr avg operating margin,-0.1140535028019225,25522.25566343042,1236.0,0.099644128113879
491,203146,Hobart Institute of Welding Technology,OH,0.0997229916897507,expendable net assets,total assets,endowment EOY,,,526.0,-0.1447154471544715
492,133809,Florida College,FL,0.0997229916897507,expendable net assets,3-yr expendable net assets % change,tuition per student,-0.0067835706164739,23253.765042979943,698.0,0.1652754590984975
493,462354,John Paul the Great Catholic University,CA,0.0997229916897507,total assets,expendable net assets,tuition per student,0.0643484785633768,109.73441734417344,369.0,0.0542857142857142
494,459851,Herzing University-Brookfield,WI,0.0997229916897507,3-yr expendable net assets % change,expendable net assets,total assets,-0.2507413238956464,,708.0,0.1493506493506493
495,170967,Rochester University,MI,0.0997229916897507,endowment EOY,expendable net assets,3-yr expendable net assets % change,-0.0379921750907865,3812.229343629344,1295.0,0.0460420032310177
496,209612,Pacific University,OR,0.0997229916897507,tuition & fees,undergraduate share of enrollment,expenses trend (slope),0.082271658363046,16491.441984732824,3930.0,-0.0495767835550181
497,133526,Edward Waters University,FL,0.0997229916897507,endowment EOY,tuition per student,expendable net assets,0.0549076931042415,4190.989385898408,1319.0,-0.0207869339272457
498,490045,Presbyterian Theological Seminary in America,CA,0.0997229916897507,expendable net assets,endowment EOY,total assets,0.358926014084602,,275.0,0.0
499,123651,Vanguard University of Southern California,CA,0.0997229916897507,expendable net assets,tuition per student,endowment EOY,0.0044705769552102,7174.884086444008,2545.0,0.0123309466984884
500,484844,Minerva University,CA,0.0997229916897507,total assets,tuition per student,endowment EOY,0.343381374642976,,752.0,0.1823899371069182
501,245777,Bais Medrash Elyon,NY,0.0997229916897507,expendable net assets,total assets,revenue per student,-0.1996246819338422,,123.0,-0.18
502,243832,EDP University of Puerto Rico Inc-San Juan,PR,0.0997229916897507,tuition per student,total assets,endowment per student,0.1499568597973405,1251.544901777362,2138.0,-0.0055813953488372
503,242723,Inter American University of Puerto Rico-School of Law,PR,0.0997229916897507,expendable net assets,total assets,3-yr expendable net assets % change,,,746.0,-0.0273794002607561
504,381459,Phoenix Seminary,AZ,0.0997229916897507,total assets,3-yr expendable net assets % change,undergrad enrollment,-0.0624585390412002,3772.98296836983,411.0,0.0592783505154639
505,381255,CET-Coachella,CA,0.0997229916897507,endowment EOY,expendable net assets,tuition dependence (tuition / total revenue),,,125.0,-0.1438356164383561
506,123280,Shasta Bible College and Graduate School,CA,0.0997229916897507,3-yr enrollment % change,expendable net assets,expenses-to-revenue ratio,0.3288962952425467,1700.5357142857142,28.0,-0.4909090909090909
507,123095,Saybrook University,CA,0.0997229916897507,expendable net assets,3-yr expendable net assets % change,total assets,0.0980602246775376,,1257.0,0.1263440860215053
508,210438,University of Western States,OR,0.0997229916897507,expendable net assets,tuition per student,endowment EOY,-0.0830232288141013,2567.9900459418072,1306.0,-0.2554161915621437
509,241225,Universidad Central de Bayamon,PR,0.0997229916897507,total assets,expendable net assets,expenses-to-revenue ratio,0.2121360571397837,1697.1777041942603,906.0,-0.1688073394495413
510,240392,Herzing University-Madison,WI,0.0997229916897507,3-yr expendable net assets % change,assets-to-liabilities ratio,expendable net assets,-0.0276469980472079,,8191.0,0.4968932748538012
511,102058,Selma University,AL,0.0997229916897507,expendable net assets,tuition & fees,3-yr expendable net assets % change,0.0078273833249764,1943.0434782608693,92.0,1.0909090909090908
512,183600,Assumption College for Sisters,NJ,0.0997229916897507,tuition & fees,expendable net assets,3-yr expendable net assets % change,0.0850131322778532,45278.333333333336,36.0,0.0
513,181738,Union Adventist University,NE,0.0997229916897507,tuition per student,total assets,revenue per student,-0.1153463930501384,45549.13395225464,754.0,-0.0904704463208685
514,499866,Atlantic Acting School,NY,0.0997229916897507,3-yr revenue % change,endowment EOY,tuition dependence (tuition / total revenue),,,80.0,
515,190071,Cochran School of Nursing,NY,0.0997229916897507,expendable net assets,endowment EOY,total assets,,,149.0,0.1640625
